% Moku:Lab Oscilloscope
% Channel A
% Channel B
% Time span 35.15 s, time offset -15.18 s, Precision acquisition mode, no averaging
% Edge trigger: Channel A, level 50.00 mV, Normal mode, Rising edge, Manual sensitivity, hysteresis 1.00 mV, HF reject off
% Output A (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output B (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Internal 10 MHz clock
% Acquired 2024-03-19 T 14:57:51 -0500
% Time (s), Channel A (V), Channel B (V)
-4.9084024840e+00, -9.7647040953e-03, -1.3165306645e-02
-4.9059408980e+00, -9.7647040953e-03, -1.3637915111e-02
-4.9034793120e+00, -9.7647040953e-03, -1.6087705635e-02
-4.9010177260e+00, -9.7647040953e-03, -1.3588994457e-02
-4.8985561400e+00, -9.7647040953e-03, -1.1883586881e-02
-4.8960945540e+00, -9.7647040953e-03, -1.7414172268e-02
-4.8936329680e+00, -9.7647040953e-03, -1.1190322412e-02
-4.8911713820e+00, -9.7647040953e-03, -1.5926148224e-02
-4.8887097960e+00, -9.7647040953e-03, -1.4937397732e-02
-4.8862482100e+00, -9.7647040953e-03, -1.1035566469e-02
-4.8837866240e+00, -9.7647040953e-03, -1.6372389734e-02
-4.8813250380e+00, -9.7647040953e-03, -1.5368150474e-02
-4.8788634520e+00, -9.7647040953e-03, -1.2214536218e-02
-4.8764018660e+00, -9.7647040953e-03, -1.4572586649e-02
-4.8739402800e+00, -9.7647040953e-03, -1.7242617183e-02
-4.8714786940e+00, -9.7647040953e-03, -7.7252411083e-03
-4.8690171080e+00, -9.7647040953e-03, -1.8813562291e-02
-4.8665555220e+00, -9.7647040953e-03, -1.5618882696e-02
-4.8640939360e+00, -9.7647040953e-03, -1.1283137151e-02
-4.8616323500e+00, -9.7647040953e-03, -1.6484028110e-02
-4.8591707640e+00, -9.7647040953e-03, -1.5741551792e-02
-4.8567091780e+00, -9.7647040953e-03, -9.6857280215e-03
-4.8542475920e+00, -9.7647040953e-03, -2.2796477321e-02
-4.8517860060e+00, -9.7647040953e-03, -8.8319114550e-03
-4.8493244200e+00, -9.7647040953e-03, -1.2358809164e-02
-4.8468628340e+00, -9.7647040953e-03, -1.6562137534e-02
-4.8444012480e+00, -9.7647040953e-03, -1.2317910221e-02
-4.8419396620e+00, -9.7647040953e-03, -1.2878993244e-02
-4.8394780760e+00, -9.7647040953e-03, -1.7258542742e-02
-4.8370164900e+00, -9.7647040953e-03, -1.2177804128e-02
-4.8345549040e+00, -9.7647040953e-03, -1.5529908948e-02
-4.8320933180e+00, -9.7647040953e-03, -1.4710910909e-02
-4.8296317320e+00, -9.7647040953e-03, -1.1429060198e-02
-4.8271701460e+00, -9.7647040953e-03, -1.4721504838e-02
-4.8247085600e+00, -9.7647040953e-03, -1.7059927380e-02
-4.8222469740e+00, -9.7647040953e-03, -1.1451405899e-02
-4.8197853880e+00, -9.7647040953e-03, -1.5282608661e-02
-4.8173238020e+00, -9.7647040953e-03, -1.7038191800e-02
-4.8148622160e+00, -9.7647040953e-03, -8.5842575743e-03
-4.8124006300e+00, -9.7647040953e-03, -1.8200743734e-02
-4.8099390440e+00, -9.7647040953e-03, -1.4458819781e-02
-4.8074774580e+00, -9.7647040953e-03, -1.2263318209e-02
-4.8050158720e+00, -9.7647040953e-03, -1.5783081656e-02
-4.8025542860e+00, -9.7647040953e-03, -1.5407343850e-02
-4.8000927000e+00, -9.7647040953e-03, -9.7176831373e-03
-4.7976311140e+00, -9.7647040953e-03, -1.8557047782e-02
-4.7951695280e+00, -9.7647040953e-03, -1.3307541229e-02
-4.7927079420e+00, -9.7647040953e-03, -1.3305599933e-02
-4.7902463560e+00, -9.7647040953e-03, -1.6617769525e-02
-4.7877847700e+00, -9.7647040953e-03, -1.2521829480e-02
-4.7853231840e+00, -9.7647040953e-03, -1.2569973616e-02
-4.7828615980e+00, -9.7647040953e-03, -1.6448280534e-02
-4.7804000120e+00, -9.7647040953e-03, -1.4017133383e-02
-4.7779384260e+00, -9.7647040953e-03, -1.4459221906e-02
-4.7754768400e+00, -9.7647040953e-03, -1.5236939677e-02
-4.7730152540e+00, -9.7647040953e-03, -1.2205557725e-02
-4.7705536680e+00, -9.7647040953e-03, -1.3587566218e-02
-4.7680920820e+00, -9.7647040953e-03, -1.9716549107e-02
-4.7656304960e+00, -9.7647040953e-03, -1.1490051553e-02
-4.7631689100e+00, -9.7647040953e-03, -1.3228579022e-02
-4.7607073240e+00, -9.7647040953e-03, -1.5522185364e-02
-4.7582457380e+00, -9.7647040953e-03, -8.5974514527e-03
-4.7557841520e+00, -9.7647040953e-03, -1.8425823118e-02
-4.7533225660e+00, -9.7647040953e-03, -1.5233285881e-02
-4.7508609800e+00, -9.7647040953e-03, -1.3331814360e-02
-4.7483993940e+00, -9.7647040953e-03, -1.6770279111e-02
-4.7459378080e+00, -9.7647040953e-03, -1.3898700472e-02
-4.7434762220e+00, -9.7647040953e-03, -8.7345693362e-03
-4.7410146360e+00, -9.7647040953e-03, -1.8776753936e-02
-4.7385530500e+00, -9.7647040953e-03, -1.2530024522e-02
-4.7360914640e+00, -9.7647040953e-03, -1.3919035545e-02
-4.7336298780e+00, -9.7647040953e-03, -1.5717181596e-02
-4.7311682920e+00, -9.7647040953e-03, -1.5179123727e-02
-4.7287067060e+00, -9.7647040953e-03, -1.1389714292e-02
-4.7262451200e+00, -9.7647040953e-03, -1.6040240953e-02
-4.7237835340e+00, -9.7647040953e-03, -1.3444492716e-02
-4.7213219480e+00, -9.7647040953e-03, -1.4409448468e-02
-4.7188603620e+00, -9.7647040953e-03, -1.6011586040e-02
-4.7163987760e+00, -9.7647040953e-03, -1.0370083330e-02
-4.7139371900e+00, -9.7647040953e-03, -1.5023508068e-02
-4.7114756040e+00, -9.7647040953e-03, -1.6877154379e-02
-4.7090140180e+00, -9.7647040953e-03, -1.1701784528e-02
-4.7065524320e+00, -9.7647040953e-03, -1.5395266217e-02
-4.7040908460e+00, -9.7647040953e-03, -1.5998718022e-02
-4.7016292600e+00, -9.7647040953e-03, -8.9341206798e-03
-4.6991676740e+00, -9.7647040953e-03, -1.7727518212e-02
-4.6967060880e+00, -9.7647040953e-03, -1.5581103692e-02
-4.6942445020e+00, -9.7647040953e-03, -1.1345293283e-02
-4.6917829160e+00, -9.7647040953e-03, -1.6850447695e-02
-4.6893213300e+00, -9.7647040953e-03, -1.4108041493e-02
