amplitude [Vpp],frequency [Hz],reflection/transmission
0.05,1594666.6666666667,0.9671307754610011
0.05,1595333.3333333333,0.9905789228916031
0.05,1596000.0,0.944227933784599
0.05,1596666.6666666667,0.944227933784599
0.05,1597333.3333333333,0.944227933784599
0.05,1598000.0,0.944227933784599
0.05,1598666.6666666667,0.9435422199619522
0.05,1599333.3333333333,0.9209136638146089
0.05,1600000.0,0.944227933784599
0.05,1600666.6666666667,0.8975993938446188
0.05,1601333.3333333333,0.9092565288296138
0.05,1602000.0,0.8963651089638546
0.05,1602666.6666666667,0.8975993938446188
0.05,1603333.3333333333,0.9070361221658052
0.05,1604000.0,0.8626279888896338
0.05,1604666.6666666667,0.8509708539046386
0.05,1605333.3333333333,0.8473626930759497
0.05,1606000.0,0.8255994424667082
0.05,1606666.6666666667,0.7784223314686107
0.05,1607333.3333333333,0.722742369069693
0.05,1608000.0,0.6958623872219398
0.05,1608666.6666666667,0.6604795539733667
0.05,1609333.3333333333,0.5646341014571166
0.05,1610000.0,0.4954952318909389
0.05,1610666.6666666667,0.43638827673240294
0.05,1611333.3333333333,0.3111249130477989
0.05,1612000.0,0.233142699699901
0.05,1612666.6666666667,0.2189397536262289
0.05,1613333.3333333333,0.3147426445948664
0.05,1614000.0,0.4127997212333542
0.05,1614666.6666666667,0.501256804354787
0.05,1615333.3333333333,0.5448443525595512
0.05,1616000.0,0.6411424241747278
0.05,1616666.6666666667,0.7076566649714641
0.05,1617333.3333333333,0.7757545781681229
0.05,1618000.0,0.7666280537190863
0.05,1618666.6666666667,0.8020108869676595
0.05,1619333.3333333333,0.8373937202162327
0.05,1620000.0,0.818143289866434
0.05,1620666.6666666667,0.8276565839346486
0.05,1621333.3333333333,0.8527127246495229
0.05,1622000.0,0.9070361221658052
0.05,1622666.6666666667,0.8975993938446188
0.05,1623333.3333333333,0.908159386713379
0.05,1624000.0,0.9199536644629034
0.05,1624666.6666666667,0.908159386713379
0.05,1625333.3333333333,0.9103284492880042
0.05,1626000.0,0.8872821594326117
0.05,1626666.6666666667,0.9011358280535499
0.05,1627333.3333333333,0.944897884071093
0.05,1628000.0,0.9547748654376897
0.05,1628666.6666666667,0.944227933784599
0.05,1629333.3333333333,0.9671307754610011
0.05,1630000.0,0.9227682080167672
0.05,1630666.6666666667,0.944227933784599
0.05,1631333.3333333333,0.882647851146473
0.05,1632000.0,0.978644237073632
0.05,1632666.6666666667,0.944227933784599
0.05,1633333.3333333333,0.9675422037545892
0.05,1634000.0,0.9789250532105256
0.05,1634666.6666666667,0.9675422037545892
0.05,1635333.3333333333,0.9789250532105254
0.05,1636000.0,0.9791993387395841
0.05,1636666.6666666667,0.9558850687695941
0.05,1637333.3333333333,0.944897884071093
0.05,1638000.0,1.0025136087095743
0.05,1638666.6666666667,0.9679441739264854
0.05,1639333.3333333333,0.9907193309600498
0.05,1640000.0,0.9461926194562273
0.05,1640666.6666666667,0.9791993387395841
0.05,1641333.3333333333,0.945552608214712
0.05,1642000.0,0.9907193309600498
0.05,1642666.6666666667,0.9789250532105254
0.05,1643333.3333333333,0.9675422037545892
0.05,1644000.0,0.9675422037545892
0.05,1644666.6666666667,0.9671307754610011
0.05,1645333.3333333333,0.9245403280321629
0.05,1646000.0,0.9905789228916031
0.05,1646666.6666666667,0.9675422037545892
0.05,1647333.3333333333,0.9907193309600498
0.05,1648000.0,1.0145920859229427
0.05,1648666.6666666667,1.0143078864590986
0.05,1649333.3333333333,1.0025136087095743
0.05,1650000.0,0.9907193309600498
0.16055555555555556,1550000.0,0.9784766215582732
0.16055555555555556,1550666.6666666667,0.96645333486113
0.16055555555555556,1551333.3333333333,0.9840601201397442
0.16055555555555556,1552000.0,0.9663920185681667
0.16055555555555556,1552666.6666666667,0.972403977749395
0.16055555555555556,1553333.3333333333,0.9774659607501481
0.16055555555555556,1554000.0,0.9782260770246637
0.16055555555555556,1554666.6666666667,0.9724887940479994
0.16055555555555556,1555333.3333333333,0.97282768546618
0.16055555555555556,1556000.0,0.9720008068395165
0.16055555555555556,1556666.6666666667,0.966264122427151
0.16055555555555556,1557333.3333333333,0.9724589031994467
0.16055555555555556,1558000.0,0.9723704193725714
0.16055555555555556,1558666.6666666667,0.978117955837198
0.16055555555555556,1559333.3333333333,0.9658071158224749
0.16055555555555556,1560000.0,0.9661453802922906
0.16055555555555556,1560666.6666666667,0.9548980783499362
0.16055555555555556,1561333.3333333333,0.9711234822320055
0.16055555555555556,1562000.0,0.9725821840790063
0.16055555555555556,1562666.6666666667,0.971836322163359
0.16055555555555556,1563333.3333333333,0.9850957297092924
0.16055555555555556,1564000.0,0.9670852909714968
