amplitude [Vpp],frequency [Hz],reflection/transmission
0.05,1600000.0,0.40331007246936895
0.05,1600666.6666666667,0.4127997212333542
0.05,1601333.3333333333,0.3613711845348465
0.05,1602000.0,0.28480500247431084
0.05,1602666.6666666667,0.2625630879953647
0.05,1603333.3333333333,0.2765554782647101
0.05,1604000.0,0.36997526035710476
0.05,1604666.6666666667,0.4429711294298119
0.05,1605333.3333333333,0.5362282093097722
0.05,1606000.0,0.6107266811679016
0.05,1606666.6666666667,0.6840681094724154
0.05,1607333.3333333333,0.7144349855171678
0.05,1608000.0,0.7577137740246782
0.05,1608666.6666666667,0.7810280439946684
0.05,1609333.3333333333,0.8138051647171838
0.05,1610000.0,0.8066201449387379
0.05,1610666.6666666667,0.8430228073239602
0.05,1611333.3333333333,0.8963651089638547
0.05,1612000.0,0.9092565288296138
0.05,1612666.6666666667,0.8885916077198498
0.05,1613333.3333333333,0.8786074323522111
0.05,1614000.0,0.9209136638146089
0.05,1614666.6666666667,0.9218515942157004
0.05,1615333.3333333333,0.9113760079177947
0.05,1616000.0,0.9553364977114768
0.05,1616666.6666666667,0.9553364977114768
0.05,1617333.3333333333,0.945552608214712
0.05,1618000.0,0.9553364977114768
0.05,1618666.6666666667,0.9558850687695941
0.05,1619333.3333333333,0.9675422037545892
0.05,1620000.0,0.9564210289987892
0.05,1620666.6666666667,0.9558850687695941
0.05,1621333.3333333333,0.9907193309600499
0.05,1622000.0,0.9791993387395842
0.05,1622666.6666666667,0.9675422037545892
0.05,1623333.3333333333,0.9679441739264855
0.05,1624000.0,0.9789250532105256
0.05,1624666.6666666667,0.9789250532105256
0.05,1625333.3333333333,0.9797292085116294
0.05,1626000.0,0.9564210289987892
0.05,1626666.6666666667,0.9791993387395842
0.05,1627333.3333333333,0.9907193309600499
0.05,1628000.0,0.9791993387395842
0.05,1628666.6666666667,1.0025136087095743
0.05,1629333.3333333333,0.9911214086106018
0.05,1630000.0,1.0143078864590986
0.05,1630666.6666666667,0.9564210289987892
0.05,1631333.3333333333,0.9675422037545892
0.05,1632000.0,0.9794673188541818
0.05,1632666.6666666667,0.9574568173068967
0.05,1633333.3333333333,0.9908564737245793
0.05,1634000.0,0.9791993387395842
0.05,1634666.6666666667,0.9791993387395841
0.05,1635333.3333333333,0.9791993387395842
0.05,1636000.0,0.9569448083136844
0.05,1636666.6666666667,0.9679441739264855
0.05,1637333.3333333333,0.9794673188541818
0.05,1638000.0,0.9683370084126569
0.05,1638666.6666666667,0.9907193309600498
0.05,1639333.3333333333,0.9789250532105256
0.05,1640000.0,1.026670563136311
0.05,1640666.6666666667,0.9675422037545892
0.05,1641333.3333333333,1.0025136087095743
0.05,1642000.0,1.0383176661634876
