frequency [Hz],input_power[dBm]
625000000.0,-3.0
725000000.0,-2.0
825000000.0,-3.0
925000000.0,-2.0
1025000000.0,1.0
1125000000.0,1.0
1225000000.0,8.0
1325000000.0,2.0
1425000000.0,1.0
1525000000.0,4.0
1625000000.0,7.0
