frequency [Hz],input_power [dBm]
625000000.0,-3.2699999999999996
650000000.0,-3.2699999999999996
675000000.0,-3.039999999999999
700000000.0,-3.039999999999999
725000000.0,-1.4299999999999997
750000000.0,-1.8899999999999988
775000000.0,-3.2699999999999996
800000000.0,-2.58
825000000.0,-3.7299999999999986
850000000.0,-3.039999999999999
875000000.0,-2.119999999999999
900000000.0,-2.119999999999999
925000000.0,-1.1999999999999993
950000000.0,-2
975000000.0,-1.1
1000000000.0,-1.5
1025000000.0,-2.3499999999999996
1050000000.0,0.41000000000000014
1075000000.0,-0.7400000000000002
1100000000.0,0.41000000000000014
1125000000.0,0.6400000000000006
1150000000.0,0.6400000000000006
1175000000.0,7.77
1200000000.0,6.850000000000001
1225000000.0,8.0
1250000000.0,1.5600000000000023
1275000000.0,3.6300000000000026
1300000000.0,1.1000000000000014
1325000000.0,0.41000000000000014
1350000000.0,-1.4299999999999997
1375000000.0,-2.119999999999999
1400000000.0,-0.5099999999999998
1425000000.0,-0.7400000000000002
1450000000.0,2.25
1475000000.0,1.7899999999999991
1500000000.0,2.4800000000000004
1525000000.0,1.1000000000000014
1550000000.0,0.41000000000000014
1575000000.0,-0.7400000000000002
1600000000.0,0.6400000000000006
1625000000.0,3.400000000000002
