frequency [Hz],input_power [dBm]
625000000.0,-3.039999999999999
650000000.0,-2.3499999999999996
675000000.0,-2.8099999999999987
700000000.0,-2.58
725000000.0,-1.4299999999999997
750000000.0,-2.8099999999999987
775000000.0,-4.1899999999999995
800000000.0,-3.2699999999999996
825000000.0,-3.2699999999999996
850000000.0,-3.2699999999999996
875000000.0,-2.3499999999999996
900000000.0,-2.58
925000000.0,-1.4
950000000.0,-0.8
975000000.0,-0.4
1000000000.0,-1.4
1025000000.0,-1.8899999999999988
1050000000.0,-2.58
1075000000.0,0.41000000000000014
1100000000.0,0.41000000000000014
1125000000.0,0.870000000000001
1150000000.0,-0.7400000000000002
1175000000.0,7.540000000000003
1200000000.0,7.77
1225000000.0,7.080000000000002
1250000000.0,0.870000000000001
1275000000.0,3.6300000000000026
1300000000.0,1.3300000000000018
1325000000.0,1.3300000000000018
1350000000.0,-1.4299999999999997
1375000000.0,-0.7400000000000002
1400000000.0,0.6400000000000006
1425000000.0,0.1800000000000015
1450000000.0,1.3300000000000018
1475000000.0,2.710000000000001
1500000000.0,0.870000000000001
1525000000.0,1.1000000000000014
1550000000.0,-0.27999999999999936
1575000000.0,0.1800000000000015
1600000000.0,-0.5099999999999998
1625000000.0,1.5600000000000023
