% Moku:Lab Oscilloscope
% Channel A
% Channel B
% Time span 20.20 s, time offset -7.248 s, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 54.70 mV, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output A (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output B (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Internal 10 MHz clock
% Acquired 2024-03-06 T 12:15:07 -0600
% Time (s), Channel A (V), Channel B (V)
-4.2983872120e+00, -1.5593333507e-01, -2.6666666963e-04
-4.2969723380e+00, -1.5626666840e-01, -2.6666666963e-04
-4.2955574640e+00, -1.5640000174e-01, -5.3333333926e-04
-4.2941425900e+00, -1.5633333507e-01, -5.3333333926e-04
-4.2927277160e+00, -1.5606666840e-01, -2.6666666963e-04
-4.2913128420e+00, -1.5560000173e-01, -5.3333333926e-04
-4.2898979680e+00, -1.5493333506e-01, -2.6666666963e-04
-4.2884830940e+00, -1.5406666838e-01, -2.6666666963e-04
-4.2870682200e+00, -1.5303333503e-01, -8.0000000889e-04
-4.2856533460e+00, -1.5180000169e-01, -5.3333333926e-04
-4.2842384720e+00, -1.5036666834e-01, -2.6666666963e-04
-4.2828235980e+00, -1.4876666832e-01, -8.0000000889e-04
-4.2814087240e+00, -1.4696666830e-01, -5.3333333926e-04
-4.2799938500e+00, -1.4500000161e-01, -2.6666666963e-04
-4.2785789760e+00, -1.4280000159e-01, -2.6666666963e-04
-4.2771641020e+00, -1.4050000156e-01, -2.6666666963e-04
-4.2757492280e+00, -1.3796666820e-01, -5.3333333926e-04
-4.2743343540e+00, -1.3526666817e-01, -5.3333333926e-04
-4.2729194800e+00, -1.3243333481e-01, -2.6666666963e-04
-4.2715046060e+00, -1.2940000144e-01, -2.6666666963e-04
-4.2700897320e+00, -1.2626666807e-01, -2.6666666963e-04
-4.2686748580e+00, -1.2293333470e-01, -5.3333333926e-04
-4.2672599840e+00, -1.1943333466e-01, -5.3333333926e-04
-4.2658451100e+00, -1.1583333462e-01, -5.3333333926e-04
-4.2644302360e+00, -1.1206666791e-01, -5.3333333926e-04
-4.2630153620e+00, -1.0820000120e-01, -2.6666666963e-04
-4.2616004880e+00, -1.0413333449e-01, -5.3333333926e-04
-4.2601856140e+00, -1.0000000111e-01, -5.3333333926e-04
-4.2587707400e+00, -9.5733334398e-02, -5.3333333926e-04
-4.2573558660e+00, -9.1333334349e-02, -1.0666666785e-03
-4.2559409920e+00, -8.6866667632e-02, -2.6666666963e-04
-4.2545261180e+00, -8.2266667581e-02, -5.3333333926e-04
-4.2531112440e+00, -7.7566667529e-02, -8.0000000889e-04
-4.2516963700e+00, -7.2800000809e-02, -2.6666666963e-04
-4.2502814960e+00, -6.7933334089e-02, -8.0000000889e-04
-4.2488666220e+00, -6.3000000700e-02, -5.3333333926e-04
-4.2474517480e+00, -5.8000000645e-02, -8.0000000889e-04
-4.2460368740e+00, -5.2900000588e-02, -8.0000000889e-04
-4.2446220000e+00, -4.7766667198e-02, -8.0000000889e-04
-4.2432071260e+00, -4.2566667140e-02, -1.3333333482e-03
-4.2417922520e+00, -3.7366667082e-02, -1.0666666785e-03
-4.2403773780e+00, -3.2066667023e-02, -8.0000000889e-04
-4.2389625040e+00, -2.6766666964e-02, -1.6000000178e-03
-4.2375476300e+00, -2.1466666905e-02, -1.8666666874e-03
-4.2361327560e+00, -1.6100000179e-02, -2.1666666908e-03
-4.2347178820e+00, -1.0733333453e-02, -4.0333333782e-03
-4.2333030080e+00, -5.4000000600e-03, -7.2666667475e-03
-4.2318881340e+00, -3.3333333704e-05, -1.1566666795e-02
-4.2304732600e+00, 5.3333333926e-03, -2.0433333561e-02
-4.2290583860e+00, 1.0666666785e-02, -4.8366667204e-02
-4.2276435120e+00, 1.5966666844e-02, -6.1666667352e-03
-4.2262286380e+00, 2.1266666903e-02, -2.7000000300e-03
-4.2248137640e+00, 2.6500000295e-02, -1.8666666874e-03
-4.2233988900e+00, 3.1700000352e-02, -1.3333333482e-03
-4.2219840160e+00, 3.6833333743e-02, -1.3333333482e-03
-4.2205691420e+00, 4.1933333800e-02, -1.3333333482e-03
-4.2191542680e+00, 4.7000000523e-02, -8.0000000889e-04
-4.2177393940e+00, 5.1966667244e-02, -8.0000000889e-04
-4.2163245200e+00, 5.6866667299e-02, -5.3333333926e-04
-4.2149096460e+00, 6.1666667352e-02, -5.3333333926e-04
-4.2134947720e+00, 6.6400000738e-02, -2.6666666963e-04
-4.2120798980e+00, 7.1033334123e-02, -8.0000000889e-04
-4.2106650240e+00, 7.5566667507e-02, -5.3333333926e-04
-4.2092501500e+00, 8.0033334223e-02, -8.0000000889e-04
-4.2078352760e+00, 8.4333334271e-02, -1.0666666785e-03
-4.2064204020e+00, 8.8566667651e-02, -2.6666666963e-04
-4.2050055280e+00, 9.2666667697e-02, -5.3333333926e-04
-4.2035906540e+00, 9.6633334408e-02, -1.0666666785e-03
-4.2021757800e+00, 1.0046666778e-01, -1.0666666785e-03
-4.2007609060e+00, 1.0416666782e-01, -2.6666666963e-04
-4.1993460320e+00, 1.0773333453e-01, -8.0000000889e-04
-4.1979311580e+00, 1.1116666790e-01, -5.3333333926e-04
-4.1965162840e+00, 1.1446666794e-01, -8.0000000889e-04
-4.1951014100e+00, 1.1760000131e-01, -8.0000000889e-04
-4.1936865360e+00, 1.2056666801e-01, 0.0000000000e+00
-4.1922716620e+00, 1.2336666804e-01, 0.0000000000e+00
-4.1908567880e+00, 1.2603333473e-01, -5.3333333926e-04
-4.1894419140e+00, 1.2853333476e-01, -2.6666666963e-04
-4.1880270400e+00, 1.3086666812e-01, -2.6666666963e-04
-4.1866121660e+00, 1.3303333481e-01, -5.3333333926e-04
-4.1851972920e+00, 1.3500000150e-01, -8.0000000889e-04
-4.1837824180e+00, 1.3683333485e-01, -8.0000000889e-04
-4.1823675440e+00, 1.3846666821e-01, -2.6666666963e-04
-4.1809526700e+00, 1.3993333489e-01, -5.3333333926e-04
-4.1795377960e+00, 1.4120000157e-01, -5.3333333926e-04
-4.1781229220e+00, 1.4233333492e-01, -2.6666666963e-04
-4.1767080480e+00, 1.4323333493e-01, -5.3333333926e-04
-4.1752931740e+00, 1.4396666827e-01, -5.3333333926e-04
